cid,survey_id,candidate_name,approval_rating
0,1,이재명,47.50
1,1,한동훈,13.30
2,1,조국,6.00
3,1,홍준표,5.60
4,1,이낙연,3.40
5,1,오세훈,4.70
6,1,원희룡,2.70
7,1,기타,6.30
8,1,없음,8.00
9,1,잘 모름,2.30
10,3,이재명,29.00
11,3,한동훈,11.00
12,3,조국,4.00
13,3,오세훈,3.00
14,3,홍준표,3.00
15,3,김동연,3.00
16,3,김문수,2.00
17,3,이준석,1.00
18,3,안철수,1.00
19,3,기타 인물,5.00
20,3,의견 유보,37.00
21,3,없음,30.00
22,3,모름/응답 거절,7.00
23,5,이재명,42.50
24,5,한동훈,9.90
25,5,오세훈,6.20
26,5,홍준표,6.10
27,5,조국,5.00
28,5,김동연,2.10
29,5,안철수,1.20
30,5,이준석,0.80
31,5,그 외 다른 인물,2.30
32,5,적합한 인물 없음,21.40
33,5,모름/무응답,2.60
34,6,이재명,50.10
35,6,한동훈,10.60
36,6,조국,7.70
37,6,오세훈,7.40
38,6,홍준표,5.40
39,6,김동연,3.60
40,6,이준석,2.30
41,6,안철수,1.70
42,6,그 외 다른 인물,4.80
43,6,적합한 인물 없음,5.10
44,6,잘 모름,1.30
45,7,이재명,41.00
46,7,한동훈,9.00
47,7,조국,6.00
48,7,홍준표,3.00
49,7,이준석,2.00
50,7,김문수,2.00
51,7,오세훈,2.00
52,7,김동연,2.00
53,7,기타,6.00
54,7,없다,23.00
55,7,모름/응답 거절,6.00
56,8,이재명,52.40
57,8,한동훈,9.80
58,8,조국,5.50
59,8,홍준표,4.90
60,8,김동연,3.90
61,8,오세훈,6.70
62,8,김경수,3.10
63,8,기타,6.10
64,8,없음,5.50
65,8,잘 모름,2.20
66,9,이재명,46.80
67,9,조국,7.10
68,9,한동훈,7.10
69,9,홍준표,5.80
70,9,오세훈,5.60
71,9,김동연,4.40
72,9,안철수,3.30
73,9,이준석,3.00
74,9,유승민,2.00
75,9,이낙연,1.70
76,9,김경수,1.40
77,9,김부겸,1.10
78,9,다른 사람,2.10
79,9,없음,5.80
80,9,모름,2.80
81,11,김경수,1.20
82,11,김동연,4.40
83,11,안철수,3.30
84,11,오세훈,6.00
85,11,이재명,49.00
86,11,조국,6.80
87,11,한동훈,9.10
88,11,홍준표,5.80
89,11,없다,8.60
90,11,기타,5.60
91,11,잘 모름,5.60
92,12,이재명,47.30
93,12,한동훈,12.90
94,12,조국,6.90
95,12,오세훈,5.30
96,12,홍준표,4.60
97,12,김동연,4.10
98,12,원희룡,3.50
99,12,이준석,3.30
100,12,안철수,2.60
101,12,기타,2.10
102,12,없음,5.00
103,12,모름,2.30
104,13,이재명,37.00
105,13,한동훈,7.00
106,13,조국,6.00
107,13,홍준표,5.00
108,13,오세훈,4.00
109,13,안철수,4.00
110,13,김동연,3.00
111,13,원희룡,2.00
112,13,이준석,2.00
113,13,유승민,1.00
114,13,김경수,1.00
115,13,기타,2.00
116,13,없다,22.00
117,13,모름/무응답,4.00
118,18,이재명,48.00
119,18,한동훈,8.00
120,18,홍준표,7.00
121,18,오세훈,5.70
122,18,김동연,5.70
123,18,원희룡,4.80
124,18,이준석,4.00
125,18,안철수,2.80
126,18,기타,5.90
127,18,없음,5.50
128,18,모름,2.60
129,22,이재명,37.00
130,22,한동훈,5.00
131,22,홍준표,5.00
132,22,조국,3.00
133,22,오세훈,2.00
134,22,김문수,2.00
135,22,이준석,2.00
136,22,유승민,2.00
137,22,안철수,1.00
138,22,우원식,1.00
139,22,기타 인물,5.00
140,22,의견 유보,35.00
141,22,없음,28.00
142,22,모름/응답 거절,6.00
143,31,김동연,2.00
144,31,안철수,3.00
145,31,오세훈,5.00
146,31,우원식,6.00
147,31,원희룡,3.00
148,31,이재명,38.00
149,31,이준석,2.00
150,31,한동훈,7.00
151,31,홍준표,5.00
152,31,다른 인물,4.00
153,31,없다,21.00
154,31,모름/무응답,3.00
155,32,김동연,3.00
156,32,안철수,3.00
157,32,오세훈,4.00
158,32,우원식,4.00
159,32,원희룡,3.00
160,32,이재명,35.00
161,32,이준석,2.00
162,32,한동훈,5.00
163,32,홍준표,7.00
164,32,다른 인물,6.00
165,32,없다,25.00
166,32,모름/무응답,3.00
167,33,이재명,33.00
168,33,한동훈,7.00
169,33,김문수,5.00
170,33,오세훈,5.00
171,33,홍준표,4.00
172,33,김동연,4.00
173,33,조국,3.00
174,33,우원식,3.00
175,33,원희룡,3.00
176,33,안철수,3.00
177,33,이준석,2.00
178,33,유승민,1.00
179,33,이낙연,1.00
180,33,다른 인물,3.00
181,33,없음/잘 모름,31.00
182,36,이재명,35.00
183,36,홍준표,8.00
184,36,한동훈,6.00
185,36,김문수,5.00
186,36,오세훈,5.00
187,36,우원식,4.00
188,36,이준석,2.00
189,36,김동연,2.00
190,36,원희룡,2.00
191,36,유승민,2.00
192,36,안철수,2.00
193,36,이낙연,1.00
194,36,추미애,1.00
195,36,김부겸,1.00
196,36,나경원,1.00
197,36,김경수,0.00
198,36,기타,1.00
199,36,없다,19.00
200,36,모름/무응답,3.00
201,37,김경수,1.30
202,37,김동연,4.00
203,37,김문수,10.00
204,37,김부겸,1.50
205,37,나경원,1.00
206,37,안철수,1.60
207,37,오세훈,5.50
208,37,원희룡,3.90
209,37,우원식,3.10
210,37,이낙연,1.80
211,37,이재명,40.10
212,37,이준석,3.50
213,37,한동훈,9.00
214,37,홍준표,6.90
215,37,기타,1.50
216,37,없음,3.70
217,37,잘 모르겠다,1.60
218,38,이재명,39.50
219,38,홍준표,8.90
220,38,오세훈,8.70
221,38,한동훈,8.00
222,38,우원식,4.80
223,38,김동연,4.30
224,38,유승민,3.70
225,38,안철수,3.00
226,38,이준석,2.30
227,38,김부겸,1.30
228,38,김경수,0.80
229,38,그 외 인물,3.30
230,38,적합한 인물이 없다,5.80
231,38,잘 모르겠다,5.70
232,38,없음,11.50
233,40,이재명,40.00
234,40,홍준표,8.00
235,40,한동훈,7.00
236,40,오세훈,5.00
237,40,우원식,4.00
238,40,원희룡,3.00
239,40,김동연,2.00
240,40,안철수,2.00
241,40,유승민,2.00
242,40,이준석,1.00
243,40,김부겸,1.00
244,40,김경수,0.00
245,41,이재명,36.00
246,41,홍준표,8.00
247,41,오세훈,6.00
248,41,한동훈,6.00
249,41,우원식,5.00
250,41,안철수,2.00
251,41,김동연,2.00
252,41,이준석,2.00
253,41,유승민,1.00
254,41,김부겸,1.00
255,41,김경수,1.00
256,41,그 외 다른 사람,3.00
257,41,없다,22.00
258,41,모름/무응답,5.00
259,42,이재명,32.00
260,42,홍준표,8.00
261,42,오세훈,8.00
262,42,우원식,5.00
263,42,한동훈,5.00
264,42,김동연,3.00
265,42,안철수,3.00
266,42,이준석,3.00
267,42,김경수,1.00
268,42,김부겸,1.00
269,42,그 외 인물,3.00
270,42,적합한 후보 없음,21.00
271,42,모름/무응답,7.00
272,43,이재명,42.00
273,43,한동훈,9.00
274,43,홍준표,8.00
275,43,오세훈,7.00
276,43,이준석,4.00
277,43,우원식,4.00
278,43,김동연,2.00
279,43,이낙연,2.00
280,43,김경수,2.00
281,43,안철수,2.00
282,43,유승민,2.00
283,43,김부겸,1.00
284,43,신장식,0.00
285,43,다른 인물,4.00
286,43,없음,9.00
287,43,모름,1.00
288,46,이재명,42.80
289,46,홍준표,8.20
290,46,오세훈,5.80
291,46,한동훈,5.40
292,46,김동연,3.00
293,46,안철수,2.30
294,46,이준석,2.10
295,46,그 외 다른 인물,3.80
296,46,적합한 인물 없음,24.40
297,46,모름/무응답,2.30
298,48,이재명,40.90
299,48,홍준표,10.30
300,48,한동훈,8.50
301,48,원희룡,7.90
302,48,오세훈,7.30
303,48,이준석,3.10
304,48,김동연,3.00
305,48,유승민,2.90
306,48,김경수,2.10
307,48,김부겸,1.30
308,48,기타 인물,4.30
309,48,없음,5.60
310,48,잘 모름,2.70
311,50,김경수,1.60
312,50,김동연,3.10
313,50,김부겸,1.70
314,50,박용진,0.20
315,50,안철수,2.60
316,50,오세훈,9.50
317,50,우원식,3.20
318,50,원희룡,6.20
319,50,이재명,39.10
320,50,이준석,1.50
321,50,한동훈,5.80
322,50,홍준표,9.30
323,50,기타,9.00
324,50,없음,5.90
325,50,잘 모름,1.30
326,51,이재명,45.10
327,51,홍준표,9.70
328,51,한동훈,7.80
329,51,원희룡,7.20
330,51,오세훈,6.10
331,51,우원식,4.00
332,51,이준석,3.10
333,51,김동연,2.30
334,51,안철수,2.20
335,51,김경수,1.20
336,51,그 외,4.00
337,51,없음,5.80
338,51,모름,1.50
339,55,이재명,31.00
340,55,오세훈,7.00
341,55,홍준표,7.00
342,55,한동훈,5.00
343,55,안철수,4.00
344,55,우원식,3.00
345,55,김동연,2.00
346,55,유승민,2.00
347,55,이준석,1.00
348,55,김경수,1.00
349,55,그 외 다른 사람,6.00
350,55,없다,27.00
351,55,모름/무응답,4.00
352,57,이재명,32.00
353,57,김문수,8.00
354,57,한동훈,6.00
355,57,홍준표,5.00
356,57,오세훈,3.00
357,57,이준석,2.00
358,57,조국,2.00
359,57,안철수,2.00
360,57,우원식,1.00
361,57,김동연,1.00
362,57,기타 인물,5.00
363,57,의견 유보,33.00
364,57,없음,27.00
365,57,모름/응답 거절,6.00
366,71,이재명,28.00
367,71,김문수,13.00
368,71,홍준표,8.00
369,71,오세훈,6.00
370,71,한동훈,5.00
371,71,우원식,3.00
372,71,김동연,3.00
373,71,유승민,2.00
374,71,안철수,2.00
375,71,이준석,2.00
376,71,김경수,1.00
377,71,그 외 다른 사람,1.00
378,71,없다,22.00
379,71,모름/무응답,5.00
380,73,이재명,31.00
381,73,김문수,7.00
382,73,홍준표,6.00
383,73,한동훈,6.00
384,73,오세훈,4.00
385,73,이준석,2.00
386,73,조국,1.00
387,73,김동연,1.00
388,73,기타 인물,6.00
389,73,의견 유보,36.00
390,73,없음,29.00
391,73,모름/응답 거절,7.00
392,76,이재명,38.80
393,76,김문수,12.80
394,76,오세훈,7.20
395,76,홍준표,6.50
396,76,한동훈,6.30
397,76,안철수,2.90
398,76,김동연,2.30
399,76,우원식,1.50
400,76,이준석,1.30
401,76,그 외 다른 인물,1.00
402,76,적합한 인물 없음,16.60
403,76,모름/무응답,2.70
404,78,이재명,33.20
405,78,김문수,19.10
406,78,홍준표,9.40
407,78,한동훈,8.20
408,78,오세훈,6.10
409,78,김동연,3.10
410,78,우원식,3.00
411,78,안철수,2.40
412,78,유승민,2.40
413,78,이준석,1.90
414,78,김경수,1.30
415,78,김부겸,1.00
416,78,그 외,1.80
417,78,없다,5.80
418,78,모름,1.30
419,80,이재명,37.90
420,80,홍준표,12.30
421,80,오세훈,9.10
422,80,한동훈,7.30
423,80,원희룡,5.70
424,80,우원식,3.00
425,80,안철수,2.70
426,80,이준석,2.60
427,80,김동연,2.60
428,80,김경수,1.20
429,80,그 외,7.20
430,80,없음,6.50
431,80,모름,1.90
432,81,김동연,2.50
433,81,김두관,0.40
434,81,김문수,24.90
435,81,김부겸,1.50
436,81,안철수,2.80
437,81,오세훈,6.70
438,81,우원식,2.30
439,81,원희룡,2.00
440,81,이재명,36.40
441,81,이준석,1.50
442,81,한동훈,6.40
443,81,홍준표,5.70
444,81,기타,2.70
445,81,없음,2.80
446,81,잘 모름,1.40
447,85,김경수,1.40
448,85,김동연,2.00
449,85,김부겸,1.20
450,85,김문수,18.50
451,85,오세훈,7.10
452,85,이재명,43.50
453,85,한동훈,11.00
454,85,홍준표,7.90
455,85,이외 인물,1.60
456,85,없음,2.20
457,85,모름,3.60
458,91,이재명,31.00
459,91,김문수,11.00
460,91,한동훈,5.00
461,91,홍준표,4.00
462,91,오세훈,3.00
463,91,조국,2.00
464,91,안철수,1.00
465,91,이준석,1.00
466,91,김동연,1.00
467,91,유승민,1.00
468,91,기타 인물,5.00
469,91,의견 유보,33.00
470,91,없음,27.00
471,91,모름/응답 거절,7.00
472,92,이재명,39.40
473,92,김경수,1.30
474,92,김부겸,1.60
475,92,김동연,2.90
476,92,한동훈,7.40
477,92,오세훈,8.00
478,92,홍준표,8.10
479,92,김문수,22.50
480,92,기타,4.00
481,92,없다,3.10
482,92,모름,1.60
483,93,이재명,31.00
484,93,김문수,14.00
485,93,홍준표,9.00
486,93,한동훈,7.00
487,93,오세훈,5.00
488,93,우원식,3.00
489,93,안철수,2.00
490,93,유승민,2.00
491,93,이준석,2.00
492,93,김동연,2.00
493,93,김부겸,1.00
494,93,김경수,0.00
495,93,기타,2.00
496,93,없다,17.00
497,93,무응답,3.00
498,95,이재명,36.00
499,95,김문수,16.00
500,95,홍준표,10.00
501,95,한동훈,8.00
502,95,오세훈,7.00
503,95,김동연,4.00
504,95,우원식,2.00
505,95,이준석,1.00
506,95,기타,2.00
507,95,없다,12.00
508,95,모름/응답 거절,2.00
509,100,김경수,1.00
510,100,김동연,1.00
511,100,김문수,15.00
512,100,김부겸,1.00
513,100,안철수,3.00
514,100,오세훈,6.00
515,100,우원식,2.00
516,100,원희룡,2.00
517,100,유승민,2.00
518,100,이재명,35.00
519,100,이준석,2.00
520,100,한동훈,7.00
521,100,홍준표,8.00
522,100,기타,1.00
523,100,없다,14.00
524,100,모르겠다/무응답,2.00
525,100,없음/모름/무응답,16.00
526,103,이재명,35.00
527,103,김문수,14.00
528,103,한동훈,7.00
529,103,홍준표,5.00
530,103,오세훈,5.00
531,103,우원식,3.00
532,103,김동연,3.00
533,103,안철수,2.00
534,103,이준석,1.00
535,103,유승민,1.00
536,103,원희룡,1.00
537,103,김부겸,1.00
538,103,김경수,0.00
539,103,그 외 다른 사람,2.00
540,103,없다,14.00
541,103,모름/무응답,4.00
542,104,이재명,36.00
543,104,김문수,17.00
544,104,오세훈,7.00
545,104,홍준표,6.00
546,104,한동훈,5.00
547,104,김동연,2.00
548,104,안철수,2.00
549,104,우원식,2.00
550,104,이준석,1.00
551,104,유승민,1.00
552,104,김경수,1.00
553,104,원희룡,1.00
554,104,김부겸,1.00
555,104,기타 후보,0.00
556,105,이재명,37.00
557,105,김문수,11.00
558,105,오세훈,7.00
559,105,한동훈,5.00
560,105,홍준표,4.00
561,105,안철수,1.00
562,105,조국,1.00
563,105,이준석,1.00
564,105,김동연,1.00
565,105,유승민,1.00
566,105,기타,4.00
567,105,없다,19.00
568,105,모름/응답 거절,7.00
569,106,이재명,38.00
570,106,김문수,19.00
571,106,한동훈,8.00
572,106,오세훈,7.00
573,106,홍준표,7.00
574,106,김동연,3.00
575,106,우원식,2.00
576,106,이낙연,2.00
577,106,이준석,1.00
578,106,원희룡,1.00
579,106,김부겸,1.00
580,106,김경수,1.00
581,106,기타 후보,2.00
582,106,없음,6.00
583,106,잘 모름,3.00
584,107,이재명,42.70
585,107,김문수,12.00
586,107,오세훈,7.10
587,107,홍준표,5.90
588,107,한동훈,4.10
589,107,김동연,3.20
590,107,우원식,1.90
591,107,이준석,1.80
592,107,안철수,0.90
593,107,그 외 다른 인물,1.40
594,107,적합한 인물 없음,15.60
595,107,모름·무응답,3.50
596,108,이재명,45.00
597,108,김문수,20.00
598,108,오세훈,8.00
599,108,한동훈,6.00
600,108,홍준표,6.00
601,108,김동연,2.00
602,108,유승민,2.00
603,108,안철수,2.00
604,108,이낙연,1.00
605,108,원희룡,1.00
606,108,이준석,1.00
607,108,우원식,1.00
608,108,김경수,1.00
609,108,김부겸,1.00
610,108,그 외 인물,1.00
611,108,없음,2.00
612,108,모름,1.00
613,110,김경수,0.80
614,110,김동연,1.90
615,110,김문수,20.30
616,110,김부겸,0.50
617,110,안철수,1.60
618,110,오세훈,6.40
619,110,우원식,1.30
620,110,유승민,1.10
621,110,이낙연,1.50
622,110,이재명,41.40
623,110,이준석,2.60
624,110,한동훈,6.70
625,110,홍준표,6.30
626,110,기타,1.10
627,110,없음,4.40
628,110,잘 모르겠다,1.10
629,114,이재명,32.00
630,114,김문수,12.00
631,114,오세훈,8.00
632,114,홍준표,7.00
633,114,한동훈,6.00
634,114,이준석,3.00
635,114,안철수,2.00
636,114,김동연,2.00
637,114,우원식,2.00
638,114,유승민,1.00
639,114,김경수,1.00
640,114,김부겸,0.00
641,114,기타,1.00
642,114,없다,20.00
643,114,무응답,4.00
644,115,김동연,2.40
645,115,김두관,0.70
646,115,김문수,24.20
647,115,김부겸,1.80
648,115,안철수,1.70
649,115,오세훈,8.90
650,115,우원식,1.80
651,115,원희룡,0.70
652,115,이재명,41.70
653,115,이준석,1.60
654,115,한동훈,5.10
655,115,홍준표,4.10
656,115,기타,1.50
657,115,없음,2.30
658,115,잘 모름,1.60
659,126,이재명,41.60
660,126,김문수,18.70
661,126,오세훈,9.60
662,126,한동훈,6.40
663,126,홍준표,5.80
664,126,안철수,2.40
665,126,이준석,2.30
666,126,우원식,2.20
667,126,원희룡,1.40
668,126,김동연,1.20
669,126,김경수,1.80
670,126,그 외,5.40
671,126,없음,1.30
672,128,이재명,32.00
673,128,김문수,13.00
674,128,오세훈,8.00
675,128,홍준표,5.00
676,128,한동훈,4.00
677,128,우원식,2.00
678,128,안철수,2.00
679,128,이준석,1.00
680,128,김동연,1.00
681,128,유승민,1.00
682,128,김부겸,1.00
683,128,김경수,0.00
684,128,그 외 다른 사람,1.00
685,128,없다,24.00
686,128,모름/무응답,4.00
687,131,이재명,34.00
688,131,김문수,12.00
689,131,한동훈,5.00
690,131,홍준표,5.00
691,131,오세훈,5.00
692,131,이준석,1.00
693,131,조국,1.00
694,131,김동연,1.00
695,131,기타 인물,5.00
696,131,의견 유보,30.00
697,131,없음,26.00
698,131,모름/응답 거절,5.00
699,133,이재명,43.30
700,133,김문수,18.10
701,133,오세훈,10.30
702,133,홍준표,7.10
703,133,한동훈,5.70
704,133,유승민,2.50
705,133,이낙연,1.40
706,133,김경수,1.20
707,133,김동연,1.20
708,133,김부겸,1.00
709,133,기타 인물,1.60
710,133,없음,1.80
711,133,잘 모름,4.90
712,143,이재명,31.00
713,143,김문수,10.00
714,143,오세훈,8.00
715,143,홍준표,5.00
716,143,한동훈,5.00
717,143,유승민,2.00
718,143,이준석,2.00
719,143,안철수,2.00
720,143,우원식,1.00
721,143,김동연,1.00
722,143,김부겸,1.00
723,143,김경수,1.00
724,143,그 외 다른 사람,1.00
725,143,없다,26.00
726,143,모름/무응답,5.00
727,146,이재명,43.30
728,146,김문수,12.00
729,146,오세훈,6.70
730,146,홍준표,6.30
731,146,한동훈,3.30
732,146,김동연,2.20
733,146,안철수,1.90
734,146,이준석,0.70
735,146,우원식,0.70
736,146,그 외 다른 인물,1.20
737,146,적합한 인물이 없다,18.30
738,146,모름·무응답,3.40
739,147,이재명,34.00
740,147,김문수,9.00
741,147,홍준표,5.00
742,147,한동훈,4.00
743,147,오세훈,4.00
744,147,조국,2.00
745,147,이준석,2.00
746,147,안철수,1.00
747,147,유승민,1.00
748,147,기타 인물,5.00
749,147,의견 유보,32.00
750,147,없음,25.00
751,147,모름·응답 거절,7.00
752,155,이재명,40.40
753,155,김문수,20.40
754,155,오세훈,8.00
755,155,한동훈,6.50
756,155,홍준표,5.60
757,155,이준석,2.60
758,155,안철수,2.40
759,155,원희룡,1.90
760,155,우원식,1.80
761,155,김동연,0.90
762,155,김경수,1.20
763,155,그 외,6.40
764,155,없음,1.90
765,157,이재명,31.00
766,157,김문수,13.00
767,157,오세훈,6.00
768,157,홍준표,6.00
769,157,한동훈,5.00
770,157,안철수,2.00
771,157,유승민,2.00
772,157,김동연,1.00
773,157,김부겸,1.00
774,157,이준석,1.00
775,157,김경수,0.00
776,157,그 외,1.00
777,157,없다,23.00
778,157,모름/무응답,7.00
779,161,이재명,35.00
780,161,김문수,10.00
781,161,한동훈,4.00
782,161,홍준표,4.00
783,161,오세훈,3.00
784,161,안철수,1.00
785,161,유승민,1.00
786,161,이준석,1.00
787,161,기타 인물,4.00
788,161,의견 유보,34.00
789,161,없음,28.00
790,161,모름/응답거절,6.00
791,162,이재명,46.30
792,162,김문수,18.90
793,162,한동훈,6.90
794,162,홍준표,6.80
795,162,오세훈,5.10
796,162,유승민,2.10
797,162,이낙연,1.70
798,162,김동연,1.40
799,162,김부겸,1.30
800,162,김경수,1.30
801,162,기타 인물,2.60
802,162,없음,3.60
803,162,잘 모름,1.90
804,163,이재명,43.60
805,163,김문수,11.80
806,163,한동훈,6.40
807,163,홍준표,5.30
808,163,오세훈,5.10
809,163,우원식,2.30
810,163,김동연,1.50
811,163,안철수,1.30
812,163,이준석,1.20
813,163,그 외 다른 인물,1.20
814,163,적합한 인물 없음,17.70
815,163,모름/무응답,2.70
816,164,이재명,42.00
817,164,김문수,19.70
818,164,한동훈,7.80
819,164,홍준표,6.20
820,164,오세훈,7.00
821,164,이준석,1.50
822,164,김동연,2.00
823,164,김부겸,0.60
824,164,안철수,1.60
825,164,그 외/잘 모름,2.40
826,164,없음,8.20
827,165,이재명,42.00
828,165,김문수,22.00
829,165,한동훈,7.00
830,165,오세훈,6.00
831,165,홍준표,5.00
832,165,우원식,2.00
833,165,김경수,2.00
834,165,안철수,2.00
835,165,김동연,2.00
836,165,이낙연,2.00
837,165,이준석,1.00
838,165,원희룡,1.00
839,165,유승민,1.00
840,165,김부겸,1.00
841,165,다른 인물,2.00
842,165,없음,3.00
843,165,모름,1.00